Player_Name,Position_ID,Shots,Makes,Points,Assists,Blocks,Fouls,Years_Exp,Team_Value
Joel Nelson,5,1128,373,1383,138,28,30,8,Contributor
Kurt Walters,5,970,456,1656,114,29,58,10,Franchise Player
Woodrow Patrick,3,1116,413,1195,108,36,60,12,Franchise Player
Delbert Lowe,3,1443,506,1787,112,35,70,13,Contributor
Cedric Barton,4,2340,843,1076,131,22,63,13,Franchise Player
Austin Underwood,4,74,45,50,139,28,65,2,Contributor
Michael Rose,3,1656,646,2091,141,51,49,12,Contributor
Michael Zimmerman,5,1880,903,1148,109,49,31,10,Franchise Player
Kent Wade,2,540,152,162,119,36,23,9,Role Player
Wade Schmidt,5,1950,956,1308,143,36,30,13,Franchise Player
Pete Hayes,1,122,25,26,122,35,49,2,Role Player
Hubert Rodgers,2,756,454,1403,120,25,40,6,Superstar
Jorge Sutton,4,333,74,93,116,36,50,9,Role Player
Ron Silva,1,408,98,240,141,28,51,8,Role Player
Santiago Little,1,1924,655,1669,135,29,47,13,Contributor
Doyle Pittman,4,2223,1201,3988,142,27,41,9,Superstar
Cecil Todd,4,305,98,376,103,36,27,5,Contributor
Oscar Marshall,5,1053,327,1100,134,20,69,9,Contributor
Lewis Bishop,4,412,165,575,124,28,24,4,Contributor
Guillermo Howell,3,840,328,336,131,43,50,12,Contributor
Forrest Manning,3,525,200,549,112,40,70,7,Franchise Player
Tyler Black,1,742,290,778,120,29,55,7,Contributor
Lowell Hubbard,5,496,189,622,139,23,70,8,Contributor
Pablo Daniel,5,1328,558,1614,124,25,44,8,Superstar
Darrell Payne,2,2420,993,2990,127,26,64,11,Superstar
Jamie Newton,3,785,330,958,136,20,51,5,Franchise Player
Perry Carlson,3,162,81,190,125,33,42,2,Franchise Player
Jimmy Warren,3,1056,275,843,143,22,60,12,Role Player
Claude Lucas,3,414,137,225,112,38,35,6,Contributor
Leroy Carter,3,160,56,80,132,28,49,4,Role Player
Claude Caldwell,4,594,179,684,139,28,29,6,Role Player
Mike Richards,1,430,168,574,127,32,21,5,Contributor
Billy Adkins,5,608,219,537,141,36,31,8,Contributor
Juan Carter,4,774,387,853,113,20,30,6,Franchise Player
Trevor Carr,3,576,127,229,139,31,56,9,Role Player
Jessie Cunningham,4,765,444,1601,127,31,60,9,Superstar
Ian Mendoza,1,212,47,74,103,44,63,4,Role Player
Calvin Woods,4,441,133,523,115,27,30,7,Contributor
Gary Copeland,2,1170,585,639,113,42,67,6,Franchise Player
Evan Simpson,2,445,134,305,141,24,32,5,Contributor
Blake Knight,5,45,34,61,129,28,30,1,Contributor
Timothy Burns,3,284,125,243,113,29,47,2,Superstar
Richard Logan,3,770,270,383,144,49,45,7,Franchise Player
Russell Lloyd,2,728,284,861,112,36,69,4,Franchise Player
Milton Wise,1,584,205,792,132,27,23,8,Contributor
Guillermo Gonzales,2,231,56,168,110,31,70,3,Role Player
Lionel Gibbs,3,860,198,278,103,43,45,10,Role Player
Clark Carr,1,836,251,662,126,33,25,11,Role Player
Todd Romero,4,1596,894,1886,107,20,67,7,Superstar
Percy Rodriguez,1,1246,711,1373,116,27,38,7,Superstar
Lionel Bishop,5,195,53,210,114,32,31,3,Role Player
Jonathon Collier,5,567,205,631,105,25,35,7,Contributor
Oscar Swanson,2,1160,685,847,110,42,58,8,Superstar
Joshua Bell,5,406,82,97,113,21,23,7,Role Player
Alton Reyes,3,732,271,996,113,38,51,6,Contributor
Pablo Boone,4,2090,795,2113,112,25,52,11,Franchise Player
Gerald Ramirez,5,470,156,232,126,30,24,5,Role Player
